message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,payment,R50: Verified bank business — routed by category.,0.88,message_0243;message_0102;message_0101
msg_091,digest,personal,Direct personal or @mention context with sender trust 0.01 and interaction history count 2.,0.41,message_0238
msg_090,digest,personal,Direct personal or @mention context with sender trust 0.37 and interaction history count 0.,0.43,none
msg_048,mute,promotion,Promotion-like signal is present but the message is not urgent and the risk score is low (0.13).,0.55,message_0150;message_0151;message_0149
msg_040,notify,urgent,R26: Direct @mention or emergency alert in muted group overrides mute.,0.67,message_0136;message_0135
msg_075,notify,business_update,R41: Verified business Grab — active delivery/order update.,0.93,message_0206;message_0205
msg_005,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.53,message_0332;message_0390;message_0114
msg_104,digest,personal,Direct personal or @mention context with sender trust 0.00 and interaction history count 7.,0.43,message_0115;message_0232;message_0050
msg_069,digest,greeting,Casual greeting pattern with low urgency and low risk.,0.48,message_0194;message_0193
msg_107,mute,scam,R16: Unverified banking message requests OTP or uses suspicious link.,0.66,message_0214;message_0213;message_0056
msg_070,mute,scam,R16: Unverified banking message requests OTP or uses suspicious link.,0.69,message_0214;message_0369;message_0213
msg_003,notify,business_update,R41: Verified business Amazon India — active delivery/order update.,0.95,message_0031;message_0267;message_0400
msg_099,digest,personal,Direct personal or @mention context with sender trust 0.28 and interaction history count 7.,0.58,message_0055;message_0249;message_0228
msg_008,digest,event,R50: Verified healthcare_product business — routed by category.,0.79,message_0072;message_0071;message_0296
msg_092,mute,scam,R11: Known bad entity (6 reports) with suspicious payment/security link.,0.74,none
msg_060,mute,promotion,Promotion-like signal is present but the message is not urgent and the risk score is low (0.15).,0.56,message_0176;message_0284;message_0404
msg_004,digest,event,R50: Verified healthcare business — routed by category.,0.88,message_0245;message_0005;message_0064
msg_030,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.06.",0.41,message_0115;message_0050;message_0232
msg_045,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.54,message_0146;message_0145
msg_052,digest,business_update,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.25, risk=0.03.",0.41,none
msg_009,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.45,message_0074;message_0073
msg_071,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.45,message_0197;message_0198
msg_016,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.00, payment=0.00, risk=0.03.",0.42,message_0024;message_0087;message_0184
msg_065,digest,promotion,R50: Verified retail business — routed by category.,0.79,message_0185;message_0186;message_0261
msg_038,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.00, payment=0.00, risk=0.27.",0.41,message_0131;message_0132
msg_086,notify,business_update,R41: Verified business Thrillophilia — active delivery/order update.,0.92,message_0222
msg_014,mute,promotion,R28: User explicitly opted out of marketing from Swish.,0.79,message_0017
msg_094,mute,promotion,Promotion-like signal is present but the message is not urgent and the risk score is low (0.00).,0.54,none
msg_029,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.21.",0.50,message_0332;message_0095;message_0390
msg_105,digest,personal,Direct personal or @mention context with sender trust 0.31 and interaction history count 2.,0.43,message_0233
msg_002,digest,event,R43: Scheduled event or meeting notice.,0.77,message_0371;message_0230;message_0170
msg_010,digest,business_update,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.57,message_0011;message_0242
msg_078,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.00, payment=0.25, risk=0.27.",0.41,message_0211;message_0212
msg_013,mute,promotion,Promotion-like signal is present but the message is not urgent and the risk score is low (0.00).,0.43,message_0082;message_0081
msg_018,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.24.",0.40,message_0092;message_0091
msg_044,mute,scam,R11: Known bad entity (0 reports) with suspicious payment/security link.,0.65,message_0036
msg_032,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.47,message_0374;message_0285;message_0119
msg_106,digest,personal,Direct personal or @mention context with sender trust 0.00 and interaction history count 3.,0.54,message_0234
msg_006,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.25, risk=0.10.",0.52,message_0410;message_0130;message_0269
msg_109,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.10.",0.52,message_0150;message_0151;message_0149
msg_108,digest,business_update,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.00, payment=0.00, risk=0.00.",0.42,message_0094
msg_019,mute,scam,R10: Sender domain does not match official business domain — likely phishing.,0.60,none
msg_088,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.44,message_0115;message_0050;message_0232
msg_056,notify,urgent,R26: Direct @mention or emergency alert in muted group overrides mute.,0.81,message_0054;message_0226;message_0168
msg_027,notify,business_update,R41: Verified business Thrillophilia — active delivery/order update.,0.82,message_0272;message_0033;message_0007
msg_050,digest,event,R43: Scheduled event or meeting notice.,0.82,message_0156;message_0155;message_0279
msg_083,notify,urgent,R44: Voice note contains urgency alert.,0.79,message_0219
msg_063,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.00, payment=0.00, risk=0.10.",0.42,message_0182;message_0181
msg_033,notify,urgent,R04: Urgent family emergency communication.,0.81,message_0409;message_0280
msg_061,digest,greeting,Casual greeting pattern with low urgency and low risk.,0.48,message_0194;message_0193
msg_020,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.17, payment=0.00, risk=0.10.",0.56,message_0390;message_0095;message_0332
msg_017,mute,promotion,Promotion-like signal is present but the message is not urgent and the risk score is low (0.10).,0.43,message_0090;message_0089
msg_058,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.27.",0.52,message_0078;message_0168;message_0077
msg_026,digest,business_update,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.41,message_0032
msg_047,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.52,message_0410;message_0150;message_0130
msg_046,mute,scam,R11: Known bad entity (0 reports) with suspicious payment/security link.,0.62,message_0148;message_0147
msg_042,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.00, payment=0.00, risk=0.00.",0.58,message_0057;message_0140;message_0240
msg_079,mute,scam,R16: Unverified banking message requests OTP or uses suspicious link.,0.69,message_0214;message_0369;message_0213
msg_098,digest,event,R43: Scheduled event or meeting notice.,0.77,message_0054;message_0226;message_0168
msg_037,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.52,message_0410;message_0130;message_0269
msg_007,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.45,message_0070;message_0069
msg_085,mute,scam,R10: Sender domain does not match official business domain — likely phishing.,0.71,message_0221
msg_001,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.54,message_0057;message_0240
msg_021,mute,scam,R11: Known bad entity (0 reports) with suspicious payment/security link.,0.75,message_0410;message_0130;message_0269
msg_028,mute,promotion,R28: User explicitly opted out of marketing from Thrillophilia.,0.78,message_0034;message_0112;message_0111
msg_012,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.24.",0.40,message_0194;message_0193;message_0247
msg_064,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.25, risk=0.03.",0.41,message_0087;message_0183;message_0184
msg_103,digest,personal,Direct personal or @mention context with sender trust 0.39 and interaction history count 10.,0.59,message_0332;message_0390;message_0231
msg_031,digest,event,R43: Scheduled event or meeting notice.,0.77,message_0249;message_0055;message_0228
msg_057,digest,personal,Direct personal or @mention context with sender trust 0.00 and interaction history count 9.,0.56,message_0371;message_0230;message_0170
msg_087,notify,urgent,R01: Critical hospital/medical emergency alert.,0.72,message_0391;message_0223
msg_067,mute,scam,R11: Known bad entity (0 reports) with suspicious payment/security link.,0.75,message_0410;message_0130;message_0269
msg_039,digest,payment,Payment or billing-related signal is present with relationship strength 0.00 and business trust 0.20.,0.59,message_0255;message_0037;message_0134
msg_082,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.25, risk=0.00.",0.60,message_0380;message_0218;message_0397
msg_066,mute,promotion,R28: User explicitly opted out of marketing from Target.,0.79,message_0188;message_0187
msg_049,digest,business_update,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.68,message_0153;message_0291;message_0154
msg_015,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.15.",0.42,message_0214;message_0086;message_0213
msg_051,mute,promotion,R28: User explicitly opted out of marketing from Flipkart.,0.81,message_0104;message_0257;message_0103
msg_097,digest,personal,Direct personal or @mention context with sender trust 0.29 and interaction history count 6.,0.60,message_0054;message_0226;message_0168
msg_089,digest,personal,Direct personal or @mention context with sender trust 0.38 and interaction history count 0.,0.44,none
msg_053,mute,scam,R12: Unverified sender with high forwarded count (6) requesting OTP/payment.,0.66,message_0411;message_0253
msg_059,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.46,message_0214;message_0053;message_0213
msg_024,mute,promotion,R28: User explicitly opted out of marketing from Flipkart.,0.81,message_0104;message_0257;message_0103
msg_072,mute,scam,R16: Unverified banking message requests OTP or uses suspicious link.,0.69,message_0214;message_0086;message_0213
msg_036,digest,business_update,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.03.",0.41,message_0283
msg_076,digest,business_update,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.25, risk=0.03.",0.41,none
msg_055,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.00, payment=0.00, risk=0.00.",0.58,message_0387;message_0166;message_0165
msg_102,digest,personal,Direct personal or @mention context with sender trust 0.00 and interaction history count 9.,0.56,message_0371;message_0230;message_0170
msg_080,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.52,message_0130;message_0410;message_0269
msg_093,mute,scam,R11: Known bad entity (9 reports) with suspicious payment/security link.,0.74,none
msg_034,notify,urgent,R04: Urgent family emergency communication.,0.79,message_0078;message_0168;message_0077
msg_035,digest,business_update,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.00, payment=0.00, risk=0.00.",0.60,message_0281;message_0125;message_0126
msg_101,digest,personal,Direct personal or @mention context with sender trust 0.00 and interaction history count 3.,0.47,message_0370;message_0229;message_0268
msg_041,digest,event,R50: Verified education business — routed by category.,0.69,message_0138;message_0137
msg_011,digest,greeting,Casual greeting pattern with low urgency and low risk.,0.60,message_0078;message_0168;message_0077
msg_110,digest,personal,Direct personal or @mention context with sender trust 0.01 and interaction history count 2.,0.42,message_0238
msg_095,digest,personal,Direct personal or @mention context with sender trust 0.28 and interaction history count 7.,0.43,message_0087;message_0184;message_0183
msg_074,mute,scam,R11: Known bad entity (0 reports) with suspicious payment/security link.,0.62,message_0391;message_0204;message_0358
msg_073,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.20, scam=0.00, payment=0.00, risk=0.24.",0.41,message_0087;message_0184;message_0024
msg_054,mute,scam,R13: Fake lottery / reward winner scam requesting fee.,0.67,message_0391;message_0164;message_0163
msg_068,digest,event,"Weighted multimodal evidence favors a digest decision. Urgency=0.00, scam=0.00, payment=0.00, risk=0.00.",0.45,message_0192;message_0191
msg_100,digest,personal,Direct personal or @mention context with sender trust 0.28 and interaction history count 7.,0.60,message_0228;message_0055;message_0249
msg_062,notify,urgent,R02: Critical infrastructure hazard/emergency alert.,0.74,message_0410;message_0130;message_0269
msg_096,digest,personal,Direct personal or @mention context with sender trust 0.09 and interaction history count 0.,0.41,none
msg_043,mute,promotion,Promotion-like signal is present but the message is not urgent and the risk score is low (0.30).,0.52,message_0410;message_0130;message_0269
